61.7  349.4
62.1  342.5
62.8  334.7
63.4  326.2
64.1  317.8
64.7  309.4
65.4  300.6
66.0  292.1
66.7  283.4
67.4  274.9
68.0  266.8
68.8  259.0
69.7  251.0
70.3  244.1
71.0  238.0
71.7  231.5
72.3  224.6
73.1  217.6
74.0  210.5
74.9  204.5
75.9  197.7
77.0  190.2
78.1  182.7
79.1  176.0
80.1  169.0
81.2  162.4
82.3  155.8
83.5  148.4
84.7  141.4
86.0  134.6
87.3  128.2
88.6  123.4
90.0  118.9
91.3  114.8
92.7  111.3
94.0  107.9
95.3  104.2
96.7  101.2
98.0  98.9
99.4  96.7
100.7  94.5
102.0  92.2
103.4  90.0
104.7  87.8
106.1  85.5
107.4  83.4
108.8  81.1
110.1  78.9
111.4  76.8
112.8  74.8
114.1  72.5
115.5  70.4
116.8  68.6
118.2  66.6
119.5  64.7
120.8  62.6
122.2  60.7
123.5  58.9
124.9  56.7
126.2  54.8
127.5  52.9
128.8  51.3
