26.8  376.2
27.0  369.9
27.4  362.8
27.7  354.9
28.1  346.4
28.5  336.3
29.0  326.4
29.4  317.4
29.7  308.7
30.1  301.0
30.5  292.8
30.8  284.2
31.1  276.6
31.6  268.0
32.0  258.2
32.4  248.5
32.9  238.7
33.3  230.8
33.8  222.4
34.3  215.8
34.7  209.5
35.2  202.7
35.8  195.2
36.3  187.7
36.9  181.1
37.7  172.6
38.4  165.7
39.0  157.8
39.6  150.3
40.2  144.3
41.0  136.4
41.8  129.5
42.8  122.6
43.9  115.7
45.1  109.3
46.5  102.8
47.8  97.3
49.1  92.5
50.5  88.0
51.8  83.4
53.1  79.6
54.5  75.5
55.8  71.5
57.2  67.6
58.5  63.8
59.8  59.7
61.2  55.9
62.5  51.9
