10.9  373.9
11.1  365.2
11.3  356.9
11.5  348.8
11.7  340.9
12.0  333.0
12.2  324.9
12.4  317.1
12.6  309.0
12.8  300.7
13.0  293.2
13.2  285.5
13.4  277.6
13.6  270.1
13.9  262.9
14.1  256.0
14.3  247.8
14.7  239.2
14.9  229.8
15.1  223.3
15.5  215.5
15.8  207.5
16.2  199.2
16.7  189.4
17.1  180.0
17.5  171.9
18.0  163.9
18.4  155.8
18.9  147.1
19.3  139.6
19.7  132.7
20.3  125.7
21.0  117.3
21.7  111.0
22.3  105.1
23.1  98.7
24.1  91.9
25.2  85.0
26.5  77.6
27.8  70.7
29.0  63.8
30.2  57.0
31.5  50.9
